"","GENEID","SYMBOL","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","ENSG00000000003","TSPAN6",2005.13972715063,-0.159593669116855,0.096950424414394,0.00202531715872422,0.999995864145498
"2","ENSG00000000419","DPM1",1343.1653930409,9.26920454470106e-07,0.00144243339910236,0.946900863088692,0.999995864145498
"3","ENSG00000000457","SCYL3",264.043333189447,1.30837741460138e-06,0.0014426198954091,0.860241124898795,0.999995864145498
"4","ENSG00000000460","C1orf112",492.639501761261,2.56954257588159e-06,0.00144255260517722,0.801523460831394,0.999995864145498
"5","ENSG00000000938","FGR",2.95104371407584,-5.60295483137396e-07,0.00144269436671459,0.443509683551329,0.999995864145498
"6","ENSG00000000971","CFH",286.856617864099,-1.45203220045924e-05,0.00144265786825265,0.0465685122443985,0.999995864145498
"7","ENSG00000001036","FUCA2",2434.96213541618,-3.12300789936359e-06,0.00144234327759399,0.844315904046174,0.999995864145498
"8","ENSG00000001084","GCLC",5701.35464467374,-9.54949487477312e-06,0.0014425548746901,0.367407906166964,0.999995864145498
"9","ENSG00000001167","NFYA",789.148849539869,5.65737408722897e-06,0.00144251554429755,0.625043917430007,0.999995864145498
"10","ENSG00000001460","STPG1",203.434179661978,-7.74783079294812e-06,0.00144264190198064,0.252038357075781,0.999995864145498
"11","ENSG00000001461","NIPAL3",727.787535398093,-1.16029623906626e-05,0.00144258376024453,0.238718928559549,0.999995864145498
"12","ENSG00000001497","LAS1L",2206.12110879592,2.8739455833097e-06,0.00144240282317308,0.844044957572617,0.999995864145498
"13","ENSG00000001561","ENPP4",263.614237636889,-1.12805319845574e-05,0.00144264414845948,0.119660658924714,0.999995864145498
"14","ENSG00000001617","SEMA3F",170.328515724444,5.74590440864075e-06,0.00144265099303824,0.0623285999021592,0.999995864145498
"15","ENSG00000001626","CFTR",14.1822443901981,-1.84311567630441e-06,0.00144269066422283,0.330123431677837,0.999995864145498
"16","ENSG00000001629","ANKIB1",2294.80917497508,9.43502668305234e-06,0.00144239209705209,0.967991380156811,0.999995864145498
"17","ENSG00000001630","CYP51A1",457.59503868209,2.45843496642315e-05,0.00144267481386705,0.109280366680283,0.999995864145498
"18","ENSG00000001631","KRIT1",251.86857919618,3.75990716494325e-06,0.00144264661569591,0.535609237107961,0.999995864145498
"19","ENSG00000002016","RAD52",331.381960915708,-3.12330186620775e-06,0.00144261074813094,0.690676629448737,0.999995864145498
"20","ENSG00000002079","MYH16",7.68857575132996,-1.64961474945461e-06,0.00144269297109455,0.225418765365129,0.999995864145498
"21","ENSG00000002330","BAD",525.914504334869,6.519065259418e-06,0.00144256881748804,0.507460202817183,0.999995864145498
"22","ENSG00000002549","LAP3",1403.77051316972,-4.03322063417984e-05,0.00144274576391188,0.237290588679632,0.999995864145498
"23","ENSG00000002586","CD99",3480.56717166011,1.49229589517513e-05,0.0014424398688058,0.841050250819255,0.999995864145498
"24","ENSG00000002587","HS3ST1",143.081913878369,4.26721978118358e-07,0.00144265718154178,0.929931683244609,0.999995864145498
"25","ENSG00000002746","HECW1",342.054059896895,3.10991915661833e-06,0.00144260088489743,0.709268374195589,0.999995864145498
"26","ENSG00000002822","MAD1L1",10.6645132821318,7.06604349559051e-07,0.00144269119746899,0.677761491459482,0.999995864145498
"27","ENSG00000002834","LASP1",16806.1975880569,-1.38132418449342e-05,0.00144227019242468,0.205609891630941,0.999995864145498
"28","ENSG00000002919","SNX11",681.013263703039,-3.40650248103459e-06,0.0014425622974555,0.728874241580078,0.999995864145498
"29","ENSG00000003056","M6PR",5194.44766331637,-1.36549830585007e-06,0.00144243828563181,0.932904605856193,0.999995864145498
"30","ENSG00000003096","KLHL13",91.495640480669,-3.47215958025185e-06,0.00144266808135287,0.447795867106246,0.999995864145498
"31","ENSG00000003137","CYP26B1",216.249804244335,1.09805033432536e-05,0.00144266725969024,0.0696075220139452,0.999995864145498
"32","ENSG00000003147","ICA1",209.39638509997,1.64328981548747e-07,0.00144263755423146,0.982942821078653,0.999995864145498
"33","ENSG00000003249","DBNDD1",923.434714814239,1.89953954571303e-05,0.00144256038119895,0.390075896836975,0.999995864145498
"34","ENSG00000003393","ALS2",890.220591046926,5.90283793890557e-06,0.00144249251218683,0.731126191740958,0.999995864145498
"35","ENSG00000003400","CASP10",187.923608720998,6.83558045827261e-07,0.00144265062577169,0.958788163840384,0.999995864145498
"36","ENSG00000003402","CFLAR",1213.49887135438,1.32505913705476e-05,0.00144248664447715,0.308112682841742,0.999995864145498
"37","ENSG00000003436","TFPI",2397.25854386135,5.70806362593744e-06,0.00144251652572172,0.608844276055039,0.999995864145498
"38","ENSG00000003509","NDUFAF7",449.198002403097,-1.70120695861117e-06,0.00144257075596749,0.809400124538184,0.999995864145498
"39","ENSG00000003756","RBM5",604.415288346662,9.88850841746031e-06,0.00144259096706404,0.290455354716973,0.999995864145498
"40","ENSG00000003987","MTMR7",43.0705448209496,2.07746883230723e-06,0.00144268049695527,0.532869759731141,0.999995864145498
"41","ENSG00000003989","SLC7A2",714.210697161498,2.19800467326686e-06,0.00144259464568217,0.797385222986283,0.999995864145498
"42","ENSG00000004059","ARF5",1519.14415718126,-3.12252762638199e-06,0.00144248421289597,0.800181949649399,0.999995864145498
"43","ENSG00000004139","SARM1",156.199437045267,-1.70665334492234e-06,0.00144265766218967,0.745629934411409,0.999995864145498
"44","ENSG00000004142","POLDIP2",5084.2625121127,0.000133412733786252,0.00144537310634314,0.874733538400374,0.999995864145498
