Uniprot,Protein Symbol,Article Count,Interactions,GO Score,GO Terms
P04150,NR3C1,1528,10,14,"['GO:0005813', 'GO:0000785', 'GO:0005737', 'GO:0005829', 'GO:0016020', 'GO:0005759', 'GO:0016607', 'GO:0005654', 'GO:0005634', 'GO:0032991', 'GO:0005819', 'GO:0045202', 'GO:0001046', 'GO:0001228', 'GO:0003700', 'GO:0000981', 'GO:0001227', 'GO:0034056', 'GO:0051879', 'GO:0042802', 'GO:0004883', 'GO:0004879', 'GO:0019901', 'GO:0003723', 'GO:0000978', 'GO:0000977', 'GO:1990837', 'GO:0005496', 'GO:1990239', 'GO:0017025', 'GO:0008270', 'GO:0030325', 'GO:0006915', 'GO:0048708', 'GO:0051301', 'GO:0071549', 'GO:0071385', 'GO:0071383', 'GO:0071560', 'GO:0006325', 'GO:0007059', 'GO:0010467', 'GO:0008211', 'GO:0030518', 'GO:0060603', 'GO:0042711', 'GO:0014004', 'GO:0061744', 'GO:0045892', 'GO:0000122', 'GO:0150076', 'GO:1902895', 'GO:0043525', 'GO:0045944', 'GO:0006355', 'GO:0031946', 'GO:0006111', 'GO:0006357', 'GO:0007165', 'GO:0035249']"
P05413,FABP3,989,3,0,"['GO:0005829', 'GO:0070062', 'GO:0005615', 'GO:0005634', 'GO:0008092', 'GO:0036041', 'GO:0070538', 'GO:0050873', 'GO:0042632', 'GO:0032365', 'GO:0015909', 'GO:0008285', 'GO:0055091', 'GO:0140214', 'GO:0071073', 'GO:0046320', 'GO:2001245']"
P05976,MYL1,92,30,-2,"['GO:0043292', 'GO:0005829', 'GO:0005859', 'GO:0030016', 'GO:0016460', 'GO:0030017', 'GO:0005509', 'GO:0008307', 'GO:0006936', 'GO:0030049']"
P07197,NEFM,74,2,0,"['GO:0030424', 'GO:0005737', 'GO:0005882', 'GO:0045111', 'GO:0097418', 'GO:0005883', 'GO:0099160', 'GO:0008017', 'GO:0005200', 'GO:0033693']"
P07947,YES1,385,8,1,"['GO:0005884', 'GO:0005813', 'GO:0005829', 'GO:0070062', 'GO:0005925', 'GO:0005794', 'GO:0005886', 'GO:0005524', 'GO:0019899', 'GO:0004715', 'GO:0001784', 'GO:0004713', 'GO:0005102', 'GO:0044325', 'GO:0030154', 'GO:0007169', 'GO:0036120', 'GO:0071300', 'GO:0071560', 'GO:0048013', 'GO:0038096', 'GO:0045087', 'GO:0050900', 'GO:0002862', 'GO:0050731', 'GO:0045944', 'GO:0036211', 'GO:0010827', 'GO:0043114', 'GO:0031295']"
P07951,TPM2,276,29,-1,"['GO:0015629', 'GO:0005884', 'GO:0005829', 'GO:0005862', 'GO:0003779', 'GO:0051015', 'GO:0042802', 'GO:0046982', 'GO:0042803', 'GO:0008307', 'GO:0007015', 'GO:0006936', 'GO:0043462']"
P08237,PFKM,187,6,1,"['GO:0005945', 'GO:0016324', 'GO:0005829', 'GO:0016020', 'GO:0005634', 'GO:0097228', 'GO:0003872', 'GO:0016208', 'GO:0005524', 'GO:0070061', 'GO:0070095', 'GO:0042802', 'GO:0019900', 'GO:0046872', 'GO:0048029', 'GO:0061621', 'GO:0030388', 'GO:0006002', 'GO:0042593', 'GO:0005980', 'GO:0093001', 'GO:0006096', 'GO:0061615', 'GO:0046716', 'GO:0032024', 'GO:0045944']"
P08590,MYL3,155,27,-3,"['GO:0031672', 'GO:0005829', 'GO:0031674', 'GO:0005859', 'GO:0016460', 'GO:0030017', 'GO:0003785', 'GO:0005509', 'GO:0032038', 'GO:0008307', 'GO:0060048', 'GO:0032781', 'GO:0006942', 'GO:0002026', 'GO:0055010']"
P09471,GNAO1,215,9,0,"['GO:0044297', 'GO:0005737', 'GO:0030425', 'GO:0005834', 'GO:0005886', 'GO:0051430', 'GO:0031821', 'GO:0031683', 'GO:0005525', 'GO:0003924', 'GO:0046872', 'GO:0031852', 'GO:0007188', 'GO:0007212', 'GO:0007626', 'GO:0006936', 'GO:0046676', 'GO:0008016', 'GO:0006904']"
P09769,FGR,3092,8,0,"['GO:0015629', 'GO:0016235', 'GO:0005829', 'GO:0070062', 'GO:0005576', 'GO:0005743', 'GO:0005758', 'GO:0005886', 'GO:0032587', 'GO:0034774', 'GO:0005524', 'GO:0034988', 'GO:0034987', 'GO:0004715', 'GO:0001784', 'GO:0019901', 'GO:0004713', 'GO:0005102', 'GO:0030282', 'GO:0030154', 'GO:0007169', 'GO:0050830', 'GO:0038096', 'GO:0002768', 'GO:0045087', 'GO:0007229', 'GO:0051450', 'GO:0002862', 'GO:0032815', 'GO:0018108', 'GO:0030335', 'GO:0001819', 'GO:0043306', 'GO:0051897', 'GO:0046777', 'GO:0006468', 'GO:0008360', 'GO:0045088', 'GO:0050764', 'GO:0045859', 'GO:0009615', 'GO:0048705']"
P0CJ79,NA,0,0,3,"['GO:0005634', 'GO:0000981', 'GO:0046872', 'GO:0000978', 'GO:0006357']"
P0CZ25,NA,0,0,0,[]
P0DME0,SETSIP,3,1,1,"['GO:0000785', 'GO:0005737', 'GO:0005811', 'GO:0005654', 'GO:0005634', 'GO:0003682', 'GO:0042393', 'GO:0045446', 'GO:0006334', 'GO:0045944']"
P0DMV1,CT45A2,4,0,0,[]
P0DMV1,CT45A9,0,0,0,[]
P0DMV1,CT45A8,0,0,0,[]
P0DMV1,CT45A2,4,0,0,[]
P0DMV1,CT45A9,0,0,0,[]
P0DMV1,CT45A8,0,0,0,[]
P0DMV1,CT45A2,4,0,0,[]
P0DMV1,CT45A9,0,0,0,[]
P0DMV1,CT45A8,0,0,0,[]
P0DOX5,NA,0,0,0,"['GO:0072562', 'GO:0070062', 'GO:0042571', 'GO:0005886', 'GO:0003823', 'GO:0034987', 'GO:0019731', 'GO:0006958']"
P10276,RARA,2935,11,15,"['GO:0015629', 'GO:0000785', 'GO:0005737', 'GO:0005829', 'GO:0030425', 'GO:0005730', 'GO:0005654', 'GO:0005634', 'GO:0048471', 'GO:0005886', 'GO:0032991', 'GO:0090575', 'GO:0005667', 'GO:0051393', 'GO:0003682', 'GO:0031490', 'GO:0003700', 'GO:0000981', 'GO:0001217', 'GO:0019899', 'GO:1901363', 'GO:0042826', 'GO:0048027', 'GO:0000900', 'GO:0004879', 'GO:0019904', 'GO:0051018', 'GO:0043422', 'GO:0001972', 'GO:0044323', 'GO:0000978', 'GO:0000977', 'GO:1990837', 'GO:0005102', 'GO:0001223', 'GO:0008270', 'GO:0043277', 'GO:0030154', 'GO:0071391', 'GO:0071222', 'GO:0071300', 'GO:0060591', 'GO:0031076', 'GO:0060324', 'GO:0007565', 'GO:0007281', 'GO:0002068', 'GO:0003417', 'GO:0021766', 'GO:0009755', 'GO:0060173', 'GO:0001889', 'GO:0042789', 'GO:0035264', 'GO:0061037', 'GO:0008285', 'GO:0045892', 'GO:0030853', 'GO:1902894', 'GO:0000122', 'GO:0032720', 'GO:0032689', 'GO:0001843', 'GO:0051099', 'GO:0045787', 'GO:0008284', 'GO:0045893', 'GO:0032736', 'GO:0032753', 'GO:0032754', 'GO:0045666', 'GO:0045630', 'GO:0045944', 'GO:0030850', 'GO:0006468', 'GO:0042981', 'GO:1901532', 'GO:0031641', 'GO:0048167', 'GO:0034097', 'GO:0032355', 'GO:0045471', 'GO:0032526', 'GO:0033189', 'GO:0048384', 'GO:0060010', 'GO:0060534', 'GO:0001657', 'GO:0055012']"
P10586,PTPRF,144,5,0,"['GO:0070062', 'GO:0043005', 'GO:0043025', 'GO:0005886', 'GO:0050839', 'GO:0035373', 'GO:0008201', 'GO:0004725', 'GO:0044877', 'GO:0005001', 'GO:0007155', 'GO:0016477', 'GO:0007185', 'GO:1900121', 'GO:0031102', 'GO:0035335', 'GO:0048679', 'GO:0099560']"
P10916,MYL2,251,27,-2,"['GO:0031672', 'GO:0097512', 'GO:0005737', 'GO:0005856', 'GO:0005829', 'GO:0030016', 'GO:0016459', 'GO:0030017', 'GO:0003785', 'GO:0005509', 'GO:0032036', 'GO:0008307', 'GO:0060048', 'GO:0055003', 'GO:0060047', 'GO:0007507', 'GO:0042694', 'GO:0030308', 'GO:0098735', 'GO:0006942', 'GO:0002026', 'GO:0055010']"
P11055,MYH3,214,23,-4,"['GO:0005737', 'GO:0005829', 'GO:0070062', 'GO:0005859', 'GO:0032982', 'GO:0016460', 'GO:0030017', 'GO:0051015', 'GO:0005524', 'GO:0016887', 'GO:0005516', 'GO:0000146', 'GO:0017018', 'GO:0030048', 'GO:0046034', 'GO:0030326', 'GO:0060325', 'GO:0006936', 'GO:0030049', 'GO:0007517', 'GO:0045214', 'GO:0003009']"
P11217,PYGM,295,12,0,"['GO:0005737', 'GO:0005829', 'GO:0070062', 'GO:0008184', 'GO:0102250', 'GO:0000166', 'GO:0030170', 'GO:0102499', 'GO:0005980', 'GO:0005977']"
P11474,ESRRA,123,5,7,"['GO:0000785', 'GO:0005737', 'GO:0001650', 'GO:0045171', 'GO:0015630', 'GO:0005654', 'GO:0005634', 'GO:0003700', 'GO:0000981', 'GO:0034056', 'GO:0004879', 'GO:0003707', 'GO:0019904', 'GO:0043565', 'GO:1990837', 'GO:0005496', 'GO:0008270', 'GO:0030518', 'GO:0045944', 'GO:0006355', 'GO:0006357']"
P11717,IGF2R,1019,10,0,"['GO:0009986', 'GO:0030118', 'GO:0030669', 'GO:0005769', 'GO:0030139', 'GO:0005768', 'GO:0010008', 'GO:0070062', 'GO:0005925', 'GO:0005794', 'GO:0000139', 'GO:0005770', 'GO:0016020', 'GO:0005641', 'GO:0048471', 'GO:0005886', 'GO:0030667', 'GO:0005802', 'GO:0032588', 'GO:0030140', 'GO:0030133', 'GO:0019899', 'GO:0001965', 'GO:0042802', 'GO:0005520', 'GO:0031995', 'GO:0005010', 'GO:0005537', 'GO:0051219', 'GO:0001972', 'GO:1905394', 'GO:0038023', 'GO:0031100', 'GO:0007186', 'GO:0001889', 'GO:0007041', 'GO:0044794', 'GO:0043065', 'GO:0009791', 'GO:0006898', 'GO:0032526', 'GO:1904772', 'GO:0007165', 'GO:0007283']"
P12829,MYL4,73,25,-2,"['GO:0031672', 'GO:0005829', 'GO:0016460', 'GO:0051015', 'GO:0003785', 'GO:0005509', 'GO:0032038', 'GO:0060048', 'GO:0032781', 'GO:0002026']"
P12882,MYH1,173,27,-3,"['GO:0031672', 'GO:0005737', 'GO:0036464', 'GO:0014704', 'GO:0005859', 'GO:0032982', 'GO:0016460', 'GO:0051015', 'GO:0005524', 'GO:0005516', 'GO:0000146', 'GO:0006936']"
P12883,MYH7,1405,28,-4,"['GO:0005737', 'GO:0005859', 'GO:0030016', 'GO:0016459', 'GO:0032982', 'GO:0016460', 'GO:0030017', 'GO:0001725', 'GO:0030018', 'GO:0051015', 'GO:0005524', 'GO:0005516', 'GO:0000146', 'GO:0007512', 'GO:0046034', 'GO:0060048', 'GO:0014898', 'GO:0006936', 'GO:0030049', 'GO:0002027', 'GO:0031449', 'GO:0002026', 'GO:0014728', 'GO:0045214', 'GO:0003009', 'GO:0006941', 'GO:0014883', 'GO:0055010']"
P13196,ALAS1,209,5,0,"['GO:0005829', 'GO:0005743', 'GO:0005759', 'GO:0005739', 'GO:0005654', 'GO:0003870', 'GO:0042802', 'GO:0030170', 'GO:0048821', 'GO:0006784', 'GO:0006785', 'GO:0006783', 'GO:0048034', 'GO:0042541', 'GO:0006782', 'GO:1903412']"
P13805,TNNT1,155,25,-1,"['GO:0005829', 'GO:0005861', 'GO:0005523', 'GO:0031014', 'GO:0045932', 'GO:0045214', 'GO:0003009', 'GO:0031444', 'GO:0014883']"
P14373,TRIM27,249,3,5,"['GO:0005737', 'GO:0005829', 'GO:0005769', 'GO:0005768', 'GO:0001650', 'GO:0005739', 'GO:0031965', 'GO:0005730', 'GO:0005654', 'GO:0005634', 'GO:0016605', 'GO:0003677', 'GO:0042802', 'GO:0046872', 'GO:0003676', 'GO:0019789', 'GO:0003713', 'GO:0061630', 'GO:0004842', 'GO:0008270', 'GO:0034314', 'GO:0045087', 'GO:0002820', 'GO:0010507', 'GO:0090281', 'GO:0045814', 'GO:0032703', 'GO:0006469', 'GO:0000122', 'GO:0032720', 'GO:0032480', 'GO:0032897', 'GO:0051127', 'GO:0051091', 'GO:0032729', 'GO:0070534', 'GO:0016925', 'GO:0042147', 'GO:0007283', 'GO:0044790']"
P15153,RAC2,958,22,0,"['GO:0005829', 'GO:0005789', 'GO:0070062', 'GO:0005925', 'GO:0030027', 'GO:0005741', 'GO:0043020', 'GO:0005635', 'GO:0030670', 'GO:0005886', 'GO:0005525', 'GO:0003924', 'GO:0019887', 'GO:0007015', 'GO:0045453', 'GO:0030031', 'GO:0006935', 'GO:0043131', 'GO:0007186', 'GO:0071593', 'GO:0070662', 'GO:0010592', 'GO:0070668', 'GO:0090023', 'GO:1903955', 'GO:0010810', 'GO:0010310', 'GO:0060753', 'GO:0043304', 'GO:1902622', 'GO:0060263', 'GO:0042129', 'GO:0045730', 'GO:0007165', 'GO:0007264']"
P15735,PHKG2,50,2,0,"['GO:0005829', 'GO:0005964', 'GO:0005524', 'GO:0005516', 'GO:0019899', 'GO:0004689', 'GO:0004674', 'GO:0050321', 'GO:0006091', 'GO:0005978', 'GO:0005980', 'GO:0005977', 'GO:0045819', 'GO:0006468']"
P16144,ITGB4,408,11,0,"['GO:0009925', 'GO:0005604', 'GO:0030054', 'GO:0031252', 'GO:0009986', 'GO:0070062', 'GO:0005925', 'GO:0030056', 'GO:0008305', 'GO:0031965', 'GO:0005730', 'GO:0005886', 'GO:0043235', 'GO:0001664', 'GO:0005178', 'GO:0046872', 'GO:0006914', 'GO:0007155', 'GO:0048870', 'GO:0098609', 'GO:0007160', 'GO:0046847', 'GO:0031581', 'GO:0007229', 'GO:0048333', 'GO:0035878', 'GO:0032290', 'GO:0009611', 'GO:0043589', 'GO:0061450']"
P17540,CKMT2,56,9,0,"['GO:0005743', 'GO:0005739', 'GO:0005524', 'GO:0004111', 'GO:0006936', 'GO:0046314']"
P17927,CR1,4300,0,0,"['GO:0009986', 'GO:0005856', 'GO:0070062', 'GO:0005615', 'GO:0101003', 'GO:0005886', 'GO:0044853', 'GO:0030667', 'GO:0001851', 'GO:0004877', 'GO:0001855', 'GO:0001861', 'GO:0001618', 'GO:1904669', 'GO:0006957', 'GO:0006958', 'GO:0002430', 'GO:0002435', 'GO:0001971', 'GO:0045916', 'GO:0045957', 'GO:0045959', 'GO:1903660', 'GO:0002638', 'GO:0032703', 'GO:1900099', 'GO:1900004', 'GO:0042130', 'GO:0032689', 'GO:0007009', 'GO:0001970', 'GO:0008284', 'GO:0045591', 'GO:1900005', 'GO:0002456']"
P18858,LIG1,385,15,2,"['GO:0043231', 'GO:0005739', 'GO:0005654', 'GO:0005634', 'GO:0005524', 'GO:0003677', 'GO:0003910', 'GO:0003909', 'GO:0046872', 'GO:0009653', 'GO:0006284', 'GO:0006287', 'GO:0051301', 'GO:0071897', 'GO:0006266', 'GO:0006310', 'GO:0006281', 'GO:0006273', 'GO:0006298', 'GO:1903461']"
P18887,XRCC1,2541,8,1,"['GO:0000785', 'GO:0000781', 'GO:0070522', 'GO:0005730', 'GO:0005654', 'GO:0005634', 'GO:0090734', 'GO:1990599', 'GO:0160002', 'GO:0019899', 'GO:0032356', 'GO:0072572', 'GO:0006284', 'GO:0021587', 'GO:0006303', 'GO:0021766', 'GO:1905765', 'GO:0010836', 'GO:1904877', 'GO:1903518', 'GO:1990414', 'GO:0033194', 'GO:0001666', 'GO:0010033', 'GO:0009410', 'GO:0000012', 'GO:0061819', 'GO:0050882']"
P19237,TNNI1,102,24,0,"['GO:0005829', 'GO:0005861', 'GO:0003779', 'GO:0060048', 'GO:0006942', 'GO:0003009', 'GO:0014883', 'GO:0055010']"
P19388,POLR2E,32,19,4,"['GO:0005829', 'GO:0005654', 'GO:0005634', 'GO:0005736', 'GO:0005665', 'GO:0005666', 'GO:1990062', 'GO:0003677', 'GO:0003899', 'GO:0050821', 'GO:0006366', 'GO:0006362', 'GO:0042797']"
P19438,TNFRSF1A,1428,10,2,"['GO:0009986', 'GO:0005576', 'GO:0005615', 'GO:0000139', 'GO:0016020', 'GO:0045121', 'GO:0005886', 'GO:0043235', 'GO:0002947', 'GO:0043120', 'GO:0005031', 'GO:0003176', 'GO:0071260', 'GO:0019221', 'GO:0042742', 'GO:0008625', 'GO:0006954', 'GO:0008630', 'GO:0010614', 'GO:0003332', 'GO:0050728', 'GO:0034250', 'GO:1902339', 'GO:0043123', 'GO:1900119', 'GO:0050729', 'GO:0045834', 'GO:0045944', 'GO:0042531', 'GO:0006693', 'GO:0072659', 'GO:0003177', 'GO:1903140', 'GO:1905038', 'GO:0010803', 'GO:0006366', 'GO:0033209']"
P20020,ATP2B1,246,3,0,"['GO:0016323', 'GO:0042995', 'GO:0070062', 'GO:0098978', 'GO:0001772', 'GO:0043231', 'GO:0016020', 'GO:0005654', 'GO:0098684', 'GO:0005886', 'GO:0042734', 'GO:0030672', 'GO:0005524', 'GO:0016887', 'GO:0015085', 'GO:0005516', 'GO:0046872', 'GO:0140678', 'GO:0005388', 'GO:0030165', 'GO:1990034', 'GO:0034220', 'GO:0001818', 'GO:0051481', 'GO:0030501', 'GO:0051928', 'GO:0008217', 'GO:1903779', 'GO:1900076', 'GO:0051480', 'GO:0003056']"
P20340,RAB6A,123,10,-1,"['GO:0002080', 'GO:0031410', 'GO:0005829', 'GO:0012505', 'GO:0005789', 'GO:0070381', 'GO:0070062', 'GO:0005794', 'GO:0000139', 'GO:0016020', 'GO:0005886', 'GO:0030667', 'GO:0005802', 'GO:0032588', 'GO:0005525', 'GO:0003924', 'GO:0031489', 'GO:0019904', 'GO:0019882', 'GO:0034498', 'GO:0006891', 'GO:0006886', 'GO:0072385', 'GO:0031175', 'GO:0018125', 'GO:0034067', 'GO:1903292', 'GO:0042147', 'GO:0006890']"
P21359,NF1,8929,17,0,"['GO:0030424', 'GO:0005737', 'GO:0005829', 'GO:0030425', 'GO:0098978', 'GO:0016020', 'GO:0005730', 'GO:0005654', 'GO:0005634', 'GO:0005886', 'GO:0098793', 'GO:0005096', 'GO:0031210', 'GO:0008429', 'GO:0030036', 'GO:0030325', 'GO:0021764', 'GO:0001525', 'GO:0048844', 'GO:0007420', 'GO:0048593', 'GO:0007154', 'GO:0034605', 'GO:0021987', 'GO:0050890', 'GO:0030199', 'GO:0001935', 'GO:0030198', 'GO:0097192', 'GO:0008625', 'GO:0048144', 'GO:0021897', 'GO:0048853', 'GO:0061534', 'GO:0061535', 'GO:0048820', 'GO:0007507', 'GO:0001889', 'GO:0060291', 'GO:0000165', 'GO:0033024', 'GO:0070662', 'GO:0001656', 'GO:0022011', 'GO:0097529', 'GO:0016525', 'GO:0048712', 'GO:0030336', 'GO:0001953', 'GO:0001937', 'GO:0048147', 'GO:0002686', 'GO:0043407', 'GO:0043409', 'GO:0070667', 'GO:0007406', 'GO:0046929', 'GO:0048715', 'GO:0045671', 'GO:0042308', 'GO:0006469', 'GO:0035021', 'GO:0046580', 'GO:1900148', 'GO:0010626', 'GO:2000647', 'GO:1904753', 'GO:0021915', 'GO:0007405', 'GO:0051402', 'GO:0098597', 'GO:0048709', 'GO:0001649', 'GO:0030316', 'GO:0007422', 'GO:0043491', 'GO:0043473', 'GO:0045762', 'GO:0043065', 'GO:0001938', 'GO:2001241', 'GO:0043547', 'GO:0033027', 'GO:0043525', 'GO:1904707', 'GO:0006606', 'GO:0016601', 'GO:0007265', 'GO:0045765', 'GO:0043535', 'GO:0045124', 'GO:0001952', 'GO:0070372', 'GO:0010468', 'GO:0045685', 'GO:0043087', 'GO:0048169', 'GO:1900271', 'GO:0099175', 'GO:0032228', 'GO:0001666', 'GO:0014044', 'GO:0036135', 'GO:0014010', 'GO:0007519', 'GO:0048745', 'GO:0021510', 'GO:0072089', 'GO:0048485', 'GO:1904738', 'GO:1990874', 'GO:0008542', 'GO:0042060']"
P22105,TNXB,211,4,0,"['GO:0062023', 'GO:0070062', 'GO:0031012', 'GO:0005576', 'GO:0005615', 'GO:0043231', 'GO:0090733', 'GO:0005518', 'GO:0098633', 'GO:0005201', 'GO:0008201', 'GO:0005178', 'GO:0030036', 'GO:0007155', 'GO:0098609', 'GO:0007160', 'GO:0030199', 'GO:0032963', 'GO:0048251', 'GO:0006631', 'GO:0031175', 'GO:1905935', 'GO:0008284', 'GO:1904028', 'GO:0010718', 'GO:1900748', 'GO:0030155', 'GO:0045595', 'GO:0030334', 'GO:0006641']"
P22415,USF1,777,1,12,"['GO:0000785', 'GO:0005794', 'GO:0005654', 'GO:0005634', 'GO:0005667', 'GO:0043425', 'GO:0000981', 'GO:0019899', 'GO:0042826', 'GO:0042802', 'GO:0046982', 'GO:0042803', 'GO:0019901', 'GO:0044877', 'GO:0000978', 'GO:0043565', 'GO:1990837', 'GO:0045990', 'GO:0032869', 'GO:0042593', 'GO:0019086', 'GO:0055088', 'GO:0051918', 'GO:0045944', 'GO:0000432', 'GO:0006357', 'GO:0000430', 'GO:0001666', 'GO:0009411']"
P22455,FGFR4,1281,9,0,"['GO:0005783', 'GO:0005768', 'GO:0005576', 'GO:0005794', 'GO:0005886', 'GO:0043235', 'GO:0030133', 'GO:0005524', 'GO:0017134', 'GO:0005007', 'GO:0008201', 'GO:0016477', 'GO:0042632', 'GO:0008543', 'GO:0042593', 'GO:0018108', 'GO:0055062', 'GO:0043085', 'GO:0008284', 'GO:2000573', 'GO:0070374', 'GO:0010628', 'GO:0045862', 'GO:0046777', 'GO:0070857', 'GO:0010715', 'GO:0019216']"
P22531,SPRR2E,9,0,0,"['GO:0001533', 'GO:0005737', 'GO:0005829', 'GO:0030280', 'GO:0005198', 'GO:0008544', 'GO:0031424', 'GO:0018149']"
P22607,FGFR3,3631,11,0,"['GO:0009986', 'GO:0005783', 'GO:0005576', 'GO:0005794', 'GO:0005886', 'GO:0043235', 'GO:0030133', 'GO:0005524', 'GO:0017134', 'GO:0005007', 'GO:0042802', 'GO:0004713', 'GO:0070977', 'GO:0030282', 'GO:0060349', 'GO:0007259', 'GO:0007267', 'GO:0002062', 'GO:0035988', 'GO:0003416', 'GO:0001958', 'GO:1902178', 'GO:0008543', 'GO:0000165', 'GO:0048640', 'GO:0008284', 'GO:0070374', 'GO:0043410', 'GO:0051897', 'GO:0010518', 'GO:0042531', 'GO:0001501']"
P22897,MRC1,721,1,0,"['GO:0009986', 'GO:0010008', 'GO:0005886', 'GO:0038024', 'GO:0005537', 'GO:0038023', 'GO:0004888', 'GO:0001618', 'GO:0071353', 'GO:0071222', 'GO:0071346', 'GO:0006898']"
P23229,ITGA6,442,13,1,"['GO:0005912', 'GO:0009986', 'GO:0009897', 'GO:0030175', 'GO:0005925', 'GO:0034675', 'GO:0034676', 'GO:0008305', 'GO:0005886', 'GO:0045296', 'GO:0031994', 'GO:0005178', 'GO:0043236', 'GO:0046872', 'GO:0038132', 'GO:0033627', 'GO:0098609', 'GO:0007160', 'GO:0031589', 'GO:0007044', 'GO:0071407', 'GO:0010668', 'GO:0007229', 'GO:0050900', 'GO:0035878', 'GO:2001237', 'GO:0043065', 'GO:0030335', 'GO:0010811', 'GO:0043547', 'GO:0010976', 'GO:0042327', 'GO:0045944', 'GO:0043589']"
P23634,ATP2B4,129,5,1,"['GO:0016323', 'GO:0005901', 'GO:0098978', 'GO:0043231', 'GO:0016020', 'GO:0045121', 'GO:0005886', 'GO:0048787', 'GO:0032991', 'GO:0036126', 'GO:0097228', 'GO:0030315', 'GO:0030018', 'GO:0005524', 'GO:0016887', 'GO:0015085', 'GO:0005516', 'GO:0046872', 'GO:0050998', 'GO:0036487', 'GO:0005388', 'GO:0030165', 'GO:0019901', 'GO:0030346', 'GO:0097110', 'GO:0017080', 'GO:1901660', 'GO:0098703', 'GO:0097553', 'GO:0070588', 'GO:1905145', 'GO:0071872', 'GO:0030317', 'GO:0021766', 'GO:0006874', 'GO:0034220', 'GO:0071878', 'GO:0016525', 'GO:1900082', 'GO:0043537', 'GO:0070885', 'GO:1903243', 'GO:1902548', 'GO:1903249', 'GO:0010629', 'GO:0045019', 'GO:0051001', 'GO:1902083', 'GO:0098736', 'GO:0003407', 'GO:0038060', 'GO:1903078', 'GO:1903779', 'GO:1902806', 'GO:0051480', 'GO:1902305', 'GO:0006357', 'GO:0051599', 'GO:0007283', 'GO:0150104', 'GO:0014832']"
P24844,MYL9,174,25,-2,"['GO:0005938', 'GO:0005737', 'GO:0005829', 'GO:0005859', 'GO:0030016', 'GO:0001725', 'GO:0030018', 'GO:0005509', 'GO:0032036', 'GO:0008307', 'GO:0030239', 'GO:0070527', 'GO:0006937']"
P25054,APC,29601,7,1,"['GO:0005912', 'GO:0030877', 'GO:0005923', 'GO:0016342', 'GO:0005813', 'GO:0005737', 'GO:0005829', 'GO:0005794', 'GO:0000776', 'GO:0030027', 'GO:0016328', 'GO:0005874', 'GO:0005654', 'GO:0005634', 'GO:0048471', 'GO:0005886', 'GO:0032587', 'GO:1990909', 'GO:0008013', 'GO:0070840', 'GO:0045295', 'GO:0008017', 'GO:0051010', 'GO:0019901', 'GO:0019887', 'GO:0031625', 'GO:0070830', 'GO:0007155', 'GO:0001708', 'GO:0016477', 'GO:0006974', 'GO:0003203', 'GO:0003170', 'GO:0008286', 'GO:0000281', 'GO:0007094', 'GO:0090090', 'GO:1902807', 'GO:0008285', 'GO:0045736', 'GO:2000134', 'GO:0007026', 'GO:0007399', 'GO:0007389', 'GO:0043065', 'GO:0030335', 'GO:0120162', 'GO:0045732', 'GO:1904781', 'GO:0031274', 'GO:0043161', 'GO:0065003', 'GO:0051988', 'GO:0060632', 'GO:0032886', 'GO:0016055']"
P25391,LAMA1,176,6,0,"['GO:0005604', 'GO:0005911', 'GO:0062023', 'GO:0031012', 'GO:0005576', 'GO:0005615', 'GO:0005606', 'GO:0005608', 'GO:0016020', 'GO:0098637', 'GO:0005201', 'GO:0043208', 'GO:0005102', 'GO:0060445', 'GO:0007155', 'GO:0007166', 'GO:0060441', 'GO:0045198', 'GO:0002011', 'GO:0031175', 'GO:0045785', 'GO:2001046', 'GO:0051149', 'GO:0110011', 'GO:0030334', 'GO:0045995', 'GO:0061304']"
P28290,ITPRID2,26,2,0,"['GO:0005829', 'GO:0005654', 'GO:0005886', 'GO:0051015', 'GO:0005102']"
P28340,POLD1,351,12,6,"['GO:0016235', 'GO:0005829', 'GO:0043625', 'GO:0016020', 'GO:0005654', 'GO:0000109', 'GO:0005634', 'GO:0008296', 'GO:0051539', 'GO:0003682', 'GO:0003684', 'GO:0003677', 'GO:0003887', 'GO:0019899', 'GO:0046872', 'GO:0000166', 'GO:0006287', 'GO:0034644', 'GO:0071897', 'GO:0006281', 'GO:0006260', 'GO:0045004', 'GO:0000731', 'GO:0006261', 'GO:0070987', 'GO:0055089', 'GO:0006297', 'GO:0009411']"
P29353,SHC1,1391,18,2,"['GO:0005829', 'GO:0005925', 'GO:0005759', 'GO:0005886', 'GO:0070435', 'GO:0046875', 'GO:0048408', 'GO:0005154', 'GO:0005158', 'GO:0005159', 'GO:0005168', 'GO:0005543', 'GO:0001784', 'GO:0030971', 'GO:0005068', 'GO:0030036', 'GO:0001525', 'GO:0098609', 'GO:0071363', 'GO:0042742', 'GO:0007173', 'GO:0007507', 'GO:0008286', 'GO:0048009', 'GO:0035556', 'GO:0016525', 'GO:0043066', 'GO:0045892', 'GO:0008284', 'GO:0071864', 'GO:0045893', 'GO:0070374', 'GO:0043410', 'GO:0090322']"
