Uniprot,Protein Symbol,Article Count,Interactions,GO Score,GO Terms
O14772,FPGT,13,0,0,"['GO:0005737', 'GO:0005829', 'GO:0003824', 'GO:0047341', 'GO:0005525', 'GO:0006004']"
O14787,TNPO2,24,5,0,"['GO:0005737', 'GO:0005634', 'GO:0061608', 'GO:0008139', 'GO:0031267', 'GO:0006606']"
O14893,GEMIN2,182,8,-3,"['GO:0005829', 'GO:0097504', 'GO:0016604', 'GO:0005730', 'GO:0005654', 'GO:0005634', 'GO:0032797', 'GO:0034719', 'GO:0005681', 'GO:0006397', 'GO:1905215', 'GO:0008380', 'GO:0000375', 'GO:0000245', 'GO:0000387']"
O15061,SYNM,33,3,0,"['GO:0005912', 'GO:0043034', 'GO:0005882', 'GO:0045111', 'GO:0060053', 'GO:0042383', 'GO:0019215', 'GO:0005200', 'GO:0008307', 'GO:0017166', 'GO:0031443', 'GO:0045104']"
O15143,ARPC1B,87,8,0,"['GO:0015629', 'GO:0005885', 'GO:0005829', 'GO:0070062', 'GO:0005925', 'GO:0005634', 'GO:0036284', 'GO:0003779', 'GO:0044877', 'GO:0005200', 'GO:0034314', 'GO:0032355', 'GO:0043627']"
O15162,PLSCR1,194,4,3,"['GO:0062023', 'GO:0005737', 'GO:0005829', 'GO:0070062', 'GO:0005794', 'GO:0016020', 'GO:0045121', 'GO:0005730', 'GO:0005654', 'GO:0005634', 'GO:0048471', 'GO:0005886', 'GO:0005509', 'GO:0042609', 'GO:0003677', 'GO:0001228', 'GO:0019899', 'GO:0005154', 'GO:0032791', 'GO:0000287', 'GO:0045340', 'GO:0004518', 'GO:0017128', 'GO:0017124', 'GO:0001618', 'GO:0008270', 'GO:0006953', 'GO:0006915', 'GO:0051607', 'GO:0050765', 'GO:0045071', 'GO:0006659', 'GO:0070782', 'GO:0017121', 'GO:0030168', 'GO:1905820', 'GO:2000373', 'GO:0010628', 'GO:0045089', 'GO:0045944', 'GO:0060368', 'GO:0033003', 'GO:0035456', 'GO:0010288']"
O15213,WDR46,6,10,0,"['GO:0005730', 'GO:0005654', 'GO:0032040', 'GO:0003723', 'GO:0000462', 'GO:0042274']"
O15269,SPTLC1,185,2,0,"['GO:0005783', 'GO:0005789', 'GO:0017059', 'GO:0035339', 'GO:0030170', 'GO:0004758', 'GO:0046513', 'GO:1904504', 'GO:1904649', 'GO:0046511', 'GO:0030148', 'GO:0006665', 'GO:0006686', 'GO:0046512']"
O15296,ALOX15B,149,2,0,"['GO:0005912', 'GO:0005856', 'GO:0005829', 'GO:0070062', 'GO:0005925', 'GO:0016020', 'GO:0005634', 'GO:0005886', 'GO:0050473', 'GO:0036403', 'GO:0005509', 'GO:0005506', 'GO:0016165', 'GO:1990136', 'GO:0008289', 'GO:0006915', 'GO:0019369', 'GO:1901696', 'GO:0071926', 'GO:0051122', 'GO:0043651', 'GO:0006629', 'GO:0034440', 'GO:2001303', 'GO:0019372', 'GO:0045786', 'GO:0030336', 'GO:0008285', 'GO:0045926', 'GO:0006644', 'GO:0032722', 'GO:0045618', 'GO:0010744', 'GO:0035360', 'GO:0030850', 'GO:0030856']"
O15344,MID1,444,1,0,"['GO:0034451', 'GO:0005737', 'GO:0005829', 'GO:0005794', 'GO:0005874', 'GO:0005875', 'GO:0005819', 'GO:0019899', 'GO:0042802', 'GO:0008017', 'GO:0051219', 'GO:0042803', 'GO:0016740', 'GO:0031625', 'GO:0008270', 'GO:0000226', 'GO:0007026', 'GO:0007389', 'GO:0032874', 'GO:0035372', 'GO:0070507']"
O15357,INPPL1,522,5,0,"['GO:0009925', 'GO:0005829', 'GO:0030175', 'GO:0005794', 'GO:0030027', 'GO:0016607', 'GO:0005634', 'GO:0000922', 'GO:0003779', 'GO:0004445', 'GO:0034485', 'GO:0042169', 'GO:0017124', 'GO:0007015', 'GO:0006915', 'GO:0007155', 'GO:0001958', 'GO:0006897', 'GO:0070371', 'GO:0000132', 'GO:0010467', 'GO:0006006', 'GO:0002376', 'GO:0008285', 'GO:0010629', 'GO:0043569', 'GO:0043491', 'GO:0006661', 'GO:0046856', 'GO:0009791', 'GO:0110053', 'GO:0050776', 'GO:0032880', 'GO:0032868', 'GO:0097178']"
O43264,ZW10,176,8,1,"['GO:0005829', 'GO:0070939', 'GO:0005783', 'GO:0005789', 'GO:0000776', 'GO:0005828', 'GO:0005811', 'GO:0016020', 'GO:0005634', 'GO:1990423', 'GO:0000922', 'GO:0019237', 'GO:0051301', 'GO:0006888', 'GO:0000132', 'GO:0007030', 'GO:0051321', 'GO:0007080', 'GO:0000070', 'GO:0007094', 'GO:0034501', 'GO:0015031', 'GO:0065003', 'GO:0051988', 'GO:0007096', 'GO:0006890']"
O43283,MAP3K13,48,1,1,"['GO:0005737', 'GO:0016020', 'GO:0005524', 'GO:0019899', 'GO:0042802', 'GO:0106137', 'GO:0004706', 'GO:0004709', 'GO:0046872', 'GO:0042803', 'GO:0019901', 'GO:0106310', 'GO:0043539', 'GO:0004674', 'GO:0007254', 'GO:0018105', 'GO:0045773', 'GO:1905492', 'GO:0043507', 'GO:0014042', 'GO:0150012', 'GO:0051092', 'GO:0046777', 'GO:0006468', 'GO:0051403']"
O43491,EPB41L2,39,2,-1,"['GO:0005938', 'GO:0030054', 'GO:0005856', 'GO:0005829', 'GO:0070062', 'GO:0005925', 'GO:0005654', 'GO:0005886', 'GO:0008091', 'GO:0003779', 'GO:0042731', 'GO:0030507', 'GO:0005198', 'GO:0031032', 'GO:0051301', 'GO:0030866', 'GO:1904778']"
O43663,PRC1,1605,21,0,"['GO:0005694', 'GO:0070938', 'GO:0005737', 'GO:0005829', 'GO:0045171', 'GO:0015630', 'GO:0030496', 'GO:1990023', 'GO:0005654', 'GO:0005634', 'GO:0005886', 'GO:0005819', 'GO:0005876', 'GO:0000922', 'GO:0042802', 'GO:0019894', 'GO:0008017', 'GO:0019901', 'GO:0051301', 'GO:0000226', 'GO:0000022', 'GO:0051256', 'GO:0008284', 'GO:0032465']"
O43707,ACTN4,462,22,4,"['GO:0015629', 'GO:0030054', 'GO:0042995', 'GO:0030864', 'GO:0005737', 'GO:0070062', 'GO:0005576', 'GO:0005615', 'GO:0005925', 'GO:0005634', 'GO:0048471', 'GO:0005886', 'GO:0031093', 'GO:0098871', 'GO:0032991', 'GO:0031143', 'GO:1990904', 'GO:0001725', 'GO:0030018', 'GO:0003779', 'GO:0051015', 'GO:0005509', 'GO:0031490', 'GO:0005178', 'GO:0016922', 'GO:0030374', 'GO:0042974', 'GO:0001882', 'GO:0042803', 'GO:0003723', 'GO:0000977', 'GO:0003713', 'GO:0044325', 'GO:0030036', 'GO:0055001', 'GO:1900025', 'GO:0035357', 'GO:0030335', 'GO:1901224', 'GO:0032417', 'GO:0045944', 'GO:0015031', 'GO:0042981', 'GO:0048384', 'GO:0033209', 'GO:0030050']"
O43790,KRT86,29,0,0,"['GO:0005829', 'GO:0005615', 'GO:0045095', 'GO:0030280', 'GO:0045109', 'GO:0031424']"
O43790,KRT86,29,0,0,"['GO:0005829', 'GO:0005615', 'GO:0045095', 'GO:0030280', 'GO:0045109', 'GO:0031424']"
